category,institution,course-code,course-title
Written Communication,Boise State University,ENGL101,Intro to College Writing
Written Communication,Boise State University,ENGL102,College Writing & Research
Written Communication,College of Eastern Idaho,ENG101,English Composition
Written Communication,College of Eastern Idaho,ENG102,Critical Reading and Writing
Written Communication,College of Southern Idaho,ENGL101,English Composition 1
Written Communication,College of Southern Idaho,ENGL102,English Composition 2
Written Communication,College of Western Idaho,ENGL101,English Composition 1
Written Communication,College of Western Idaho,ENGL101P,English Composition 1
Written Communication,College of Western Idaho,ENGL102,English Composition 2
Written Communication,Idaho State University,ENGL1101,English Composition
Written Communication,Idaho State University,ENGL1101P,English Composition Plus
Written Communication,Idaho State University,ENGL1102,Critical Reading and Writing
Written Communication,Idaho State University,HONS1101,Honors Humanities I
Written Communication,Lewis-Clark State College,ENGL101,College Writing
Written Communication,Lewis-Clark State College,ENGL102,Research Writing
Written Communication,Lewis-Clark State College,ENGL109,College Writing & Research
Written Communication,North Idaho College,ENGL101,English Composition
Written Communication,North Idaho College,ENGL101P,English Composition
Written Communication,North Idaho College,ENGL102,English Composition
Written Communication,University of Idaho,ENGL101,Introduction to College Writing
Written Communication,University of Idaho,ENGL102,College Writing & Rhetoric
Oral Communication,Boise State University,ANTH314,Environmental Anthropology
Oral Communication,Boise State University,ART298,Seminar
Oral Communication,Boise State University,BAS310,Comm in the Applied Sciences
Oral Communication,Boise State University,BIOL306,Comm in Biological Sciences
Oral Communication,Boise State University,BIOL323,Ecology
Oral Communication,Boise State University,BUSCOM201,Business Communication
Oral Communication,Boise State University,CE321,Prin of Envr Engineering Lab
Oral Communication,Boise State University,CE341,Construction Materials Lab
Oral Communication,Boise State University,CE481,Senior Design Project I
Oral Communication,Boise State University,CHEM323,Advanced Synthesis Laboratory
Oral Communication,Boise State University,CJ425,Research Methods
Oral Communication,Boise State University,CMGT201,Construction Communications
Oral Communication,Boise State University,COMM101,Fundamentals of Comm
Oral Communication,Boise State University,COMM112,Reasoned Discourse
Oral Communication,Boise State University,COMM271,Introduction to Media
Oral Communication,Boise State University,COMM304,Perspectives of Communication
Oral Communication,Boise State University,CS230,Ethical Issues in Computing
Oral Communication,Boise State University,ECE380,Electrical Engineering Practic
Oral Communication,Boise State University,ECE380L,EE Practice Lab
Oral Communication,Boise State University,ECON401,Research Project Seminar
Oral Communication,Boise State University,ED-LLC346,Children's Literature
Oral Communication,Boise State University,ED-LLC440,Content Language Arts K-8
Oral Communication,Boise State University,ED-LLC444,Cont Literacy for Sec Students
Oral Communication,Boise State University,ENGL275,Methods of Literary Studies
Oral Communication,Boise State University,ENGL304,Argument
Oral Communication,Boise State University,ENVSTD221,People and Nature
Oral Communication,Boise State University,FRENCH303,Adv French Comp & Conversation
Oral Communication,Boise State University,GEOS242,Comm in the Earth Sciences
Oral Communication,Boise State University,GERMAN303,Advanced German Conv & Comp
Oral Communication,Boise State University,GIMM290,Game Design Theory
Oral Communication,Boise State University,HEP240,Health Education and Promotion
Oral Communication,Boise State University,HIST220,The Historical Craft
Oral Communication,Boise State University,HIST222,Intro to Study & Teaching Hist
Oral Communication,Boise State University,HLTHST382,Research Methods in Health
Oral Communication,Boise State University,KINES201,"Cultural, Historical & Philo"
Oral Communication,Boise State University,MATH287,Comm in Mathematical Sciences
Oral Communication,Boise State University,MDS300,Communicating Universally
Oral Communication,Boise State University,ME310,Experimental Methods Lab
Oral Communication,Boise State University,MSE415,Materials Processing
Oral Communication,Boise State University,MUS202,Music Communications
Oral Communication,Boise State University,NURS226,Essentials of Communication
Oral Communication,Boise State University,NURS420,"Policy, Power, and Voice"
Oral Communication,Boise State University,NURS-RN420,"Policy, Power, and Voice"
Oral Communication,Boise State University,PHIL301,Puzzles and Paradoxes
Oral Communication,Boise State University,PHYS301,Analog and Digital Electronics
Oral Communication,Boise State University,POLS200,Introduction to Politics
Oral Communication,Boise State University,POLS300,American Political Institution
Oral Communication,Boise State University,POLS305,Comparative Politics: Theories
Oral Communication,Boise State University,POLS315,Political Philosophy
Oral Communication,Boise State University,PSYC321,Research Methods
Oral Communication,Boise State University,RADSCI340,Radiologic Quality Assurance
Oral Communication,Boise State University,RADSCI462,Obstetrics/GYN Sonography
Oral Communication,Boise State University,RESPCARE355,Pro Comm in Health Care
Oral Communication,Boise State University,SOC201,Theories of Society
Oral Communication,Boise State University,SOC305,Racial and Cultural Minorities
Oral Communication,Boise State University,SOCWRK333,Generalist Social Work Pract I
Oral Communication,Boise State University,SPANISH300,Spanish for Bilinguals
Oral Communication,Boise State University,SPANISH301,Conversational Spanish
Oral Communication,Boise State University,SPS300,Communication in Public Sphere
Oral Communication,Boise State University,THEA230,Devel of Theatre I: Classical
Oral Communication,College of Eastern Idaho,COM101,Fundamentals of Speech
Oral Communication,College of Southern Idaho,COMM101,Fundamentals of Oral Communication
Oral Communication,College of Southern Idaho,COMM209,Critical Thinking & Argumentation
Oral Communication,College of Western Idaho,COMM100,Communication Matters
Oral Communication,College of Western Idaho,COMM101,Introduction to Communication
Oral Communication,College of Western Idaho,COMM112,Argumentation and Debate
Oral Communication,Idaho State University,COMM1101,Principles of Speech
Oral Communication,Lewis-Clark State College,COMM101,Principles of Speech
Oral Communication,Lewis-Clark State College,COMM202,Interpersonal Comm
Oral Communication,Lewis-Clark State College,COMM203,Sm Group Communication
Oral Communication,Lewis-Clark State College,COMM204,Public Speaking
Oral Communication,North Idaho College,COMM101,Intro to Speech Communication
Oral Communication,University of Idaho,COMM101,Fundamntls Public Speaking
Oral Communication,University of Idaho,ENGL313,Business Writing
Oral Communication,University of Idaho,ENGL317,Technical Writing
Oral Communication,University of Idaho,PHIL102,Reason and Rhetoric
Mathematical Ways of Knowing,Boise State University,MATH123,Quantitative Reasoning
Mathematical Ways of Knowing,Boise State University,MATH143,College Algebra
Mathematical Ways of Knowing,Boise State University,MATH160,Survey of Calculus
Mathematical Ways of Knowing,Boise State University,MATH170,Calculus I: Concepts & App
Mathematical Ways of Knowing,Boise State University,MATH171,Calculus I: Theory and App
Mathematical Ways of Knowing,Boise State University,MATH254,Introduction to Statistics
Mathematical Ways of Knowing,Boise State University,MATH257,"Geometry, Measure for Teachers"
Mathematical Ways of Knowing,College of Eastern Idaho,MAT123,Mathematics in Modern Society
Mathematical Ways of Knowing,College of Eastern Idaho,MAT143,College Algebra
